nombre,direccion,plazas,lat,lon
Naciones Unidas,"Avinguda del Parlament, 1",3,41.5824694,2.013162
Plaça de l'Aigua,"Rambla de Francesc Macià, 19",4,41.5774095,2.0275722
Estació del Nord,"Passeig vint-i-dos de juliol, 405",12,41.5681672,2.0348114
FGC Terrassa Rambla,"Rambla d'Ègara, 132",10,41.5636455,2.0079886
CAP Rambla,"Rambla d'Ègara, 390",6,41.5687956,2.0048045
Hospital Mútua Terrassa,"Carrer del Castell, 1",7,41.564233,2.0177579
Vallparadís Universitat,"Carrer de la Igualtat, 3",5,41.5621613,2.0194547
Ca n'Anglada,"Carrer de Sant Tomàs, 5",2,41.5660288,2.0330205
Estació Est de Terrassa,"Passeig Camp del Roure, 18",5,41.5665812,2.0387448
Estació d'Autobusos,"Carretera de Montcada, 2",5,41.556771,2.0079902
Hotel Don Cándido / Jutjats,"Rambleta del Pare Alegre, 98",5,41.5524111,2.0080043
Can Palet,"Carrer del Bages, 105",5,41.5527021,2.023193
Hospital de Terrassa,"Carretera Rubricana, S/N",6,41.556089,2.053964
Parc Vallès,"Avinguda Tèxtil, 51",4,41.5451329,2.0263755
