"id_origin","hour","dow","viajes"
"0827901",0,1,10678.565
"0827901",0,2,10108.414
"0827901",0,3,10150.463
"0827901",0,4,9953.07
"0827901",0,5,11385.604
"0827901",0,6,15392.335
"0827901",0,7,17246.489
"0827901",1,1,5630.976
"0827901",1,2,5440.944
"0827901",1,3,4840.959
"0827901",1,4,5473.98
"0827901",1,5,5413.376
"0827901",1,6,8982.179
"0827901",1,7,9337.8
"0827901",2,1,4046.777
"0827901",2,2,3523.982
"0827901",2,3,3811.566
"0827901",2,4,4217.812
"0827901",2,5,4024.444
"0827901",2,6,6265.43
"0827901",2,7,6139.877
"0827901",3,1,3033.179
"0827901",3,2,2905.647
"0827901",3,3,2876.65
"0827901",3,4,3203.072
"0827901",3,5,3422.709
"0827901",3,6,4737.283
"0827901",3,7,4844.294
"0827901",4,1,3667.119
"0827901",4,2,4155.101
"0827901",4,3,4041.997
"0827901",4,4,3877.801
"0827901",4,5,3918.089
"0827901",4,6,4389.017
"0827901",4,7,4586.635
"0827901",5,1,6975.198
"0827901",5,2,8192.648
"0827901",5,3,8111.735
"0827901",5,4,8099.356
"0827901",5,5,8047.735
"0827901",5,6,5983.182
"0827901",5,7,5368.021
"0827901",6,1,14994.885
"0827901",6,2,17381.48
"0827901",6,3,17262.805
"0827901",6,4,16449.477
"0827901",6,5,16954.827
"0827901",6,6,9719.622
"0827901",6,7,8908.612
"0827901",7,1,25582.982
"0827901",7,2,32255.422
"0827901",7,3,31876.419
"0827901",7,4,31269.393
"0827901",7,5,29941.632
"0827901",7,6,13368.905
"0827901",7,7,11079.02
"0827901",8,1,26450.765
"0827901",8,2,33627.341
"0827901",8,3,32630.88
"0827901",8,4,32094.5
"0827901",8,5,31092.25
"0827901",8,6,18254.961
"0827901",8,7,13762.762
"0827901",9,1,26235.694
"0827901",9,2,30746.028
"0827901",9,3,29691.035
"0827901",9,4,28971.398
"0827901",9,5,30634.788
"0827901",9,6,22884.738
"0827901",9,7,17898.765
"0827901",10,1,28419.045
"0827901",10,2,28328.292
"0827901",10,3,28420.814
"0827901",10,4,27504.064
"0827901",10,5,27799.003
"0827901",10,6,26948.958
"0827901",10,7,22090.202
"0827901",11,1,29041.177
"0827901",11,2,30382.642
"0827901",11,3,29784.882
"0827901",11,4,29343.166
"0827901",11,5,30616.053
"0827901",11,6,31094.54
"0827901",11,7,25776.803
"0827901",12,1,29679.334
"0827901",12,2,33087.228
"0827901",12,3,32008.143
"0827901",12,4,32225.572
"0827901",12,5,32757.429
"0827901",12,6,33048.371
"0827901",12,7,29039.409
"0827901",13,1,34916.46
"0827901",13,2,38935.631
"0827901",13,3,38202.238
"0827901",13,4,38044.883
"0827901",13,5,37553.971
"0827901",13,6,34157.599
"0827901",13,7,32418.97
"0827901",14,1,34223.75
"0827901",14,2,38511.295
"0827901",14,3,37723.984
"0827901",14,4,36957.203
"0827901",14,5,39087.596
"0827901",14,6,28714.333
"0827901",14,7,26027.177
"0827901",15,1,28989.471
"0827901",15,2,32972.293
"0827901",15,3,34090.689
"0827901",15,4,32362.472
"0827901",15,5,34110.819
"0827901",15,6,24264.938
"0827901",15,7,20210.805
"0827901",16,1,28107.407
"0827901",16,2,31699.449
"0827901",16,3,31751.717
"0827901",16,4,31494.8
"0827901",16,5,32944.588
"0827901",16,6,26076.254
"0827901",16,7,20650.744
"0827901",17,1,35757.425
"0827901",17,2,38934.519
"0827901",17,3,38137.827
"0827901",17,4,39821.273
"0827901",17,5,37166.378
"0827901",17,6,26618.529
"0827901",17,7,22250.031
