Corte,Segmento,Filas,Demanda media,WAPE baseline %,WAPE LightGBM %,Mejora relativa %
Franja horaria,Madrugada (0-5),96258,5.6,51.8,28.7,44.6
Franja horaria,Mañana (6-11),96258,14.74,28.2,16.7,40.9
Franja horaria,Tarde (12-16),80215,24.95,21.4,13.0,39.1
Franja horaria,Punta (17-20),64172,27.01,26.5,14.9,43.7
Franja horaria,Noche (21-23),48129,21.27,34.2,19.1,44.2
Tipo de día,Festivo,25248,14.29,50.4,19.9,60.5
Tipo de día,Fin de semana,107304,16.49,31.7,18.2,42.6
Tipo de día,Laborable,252480,18.16,25.6,15.5,39.3
Nivel de la zona,Zona baja,128832,0.06,169.8,167.8,1.2
Nivel de la zona,Zona media,127368,0.39,131.1,116.3,11.2
Nivel de la zona,Zona alta,128832,51.68,27.6,15.5,43.7
